id,title,abstract
HRCS22_14562,Interaction between ionising radiation and genetic susceptibility in the aetiology of childhood acute lymphoblastic leukaemia,"The aetiology of childhood acute lymphoblastic leukaemia (ALL) is largely unknown. Various studies have evaluated the role of ionising radiation and genetic susceptibility, but potential interaction between the two factors has rarely being examined. A major barrier to this type of research is the limited availability of both radiation and genetic data in existing studies. In the proposed project, we will leverage three studies from the Childhood Leukaemia International Consortium (CLIC), including the California Childhood Leukemia Study (CCLS), the Children’s Cancer Group (CCG) study of childhood ALL, and the Australian Study of Childhood ALL, to assess gene-radiation interaction in the aetiology of childhood ALL. Specifically, we will use the CCLS as the discovery/training dataset and the CCG and Australian studies as validation datasets. The CCLS has a case-control design (746 cases and 734 controls), while the CCG (n = 507) and Australian (n = 602) studies have a case-only design. All studies have collected very similar data on diagnostic X-rays that a child received before the diagnosis of ALL (and comparable date for controls), as well as whole-genome genotyping data. After conducting rigorous quality control, we will use both benchmark logistic-regression based analysis and more advanced regularization-based G-E interaction analysis methods recently developed by Co-Applicant Dr. S Ma’s group and others. With 2,589 subjects, the proposed project will provide an unprecedented opportunity to elucidate the potential aetiological role of gene-radiation interaction. Our findings will help clarify the biological pathways in leukemogenesis and identify children at high risk for ALL."
HRCS22_14594,Uncovering chromatin aberrations and molecular mechanisms associated with Alternative Lengthening of Telomeres in cancers,"Cancer cells gain replicative immortality by activating one of two telomere maintenance pathways. The aberrant ALT (alternative lengthening of telomeres) pathway is found in 15% of cancers. Recent studies have identified chromatin factor ATRX and histone H3.3, which are frequently mutated in ALT cancers to be the key contributors to the ALT process. This breakthrough finding was facilitated by our original discoveries describing the roles of ATRX and H3.3 in controlling telomere function. Developing treatments for ALT cancers is challenging because of the current poor understanding of the molecular mechanisms underlying ALT activation and maintenance. This proposed study aims to uncover the molecular events and chromatin aberrations linked to  ATRX/H3.3 mutations and ALT by pursuing the following aims. First, using the ALT cell models we have created, we will perform in-depth chromatin and genomics analyses to explore how a disrupted KDM4 network drives ALT and oncogenesis in ATRX/H3.3 mutant cancers. This follows from our recent discovery that mutant H3.3 protein inhibits the function of KDM4 histone demethylases and this leads to substantial genome-wide changes in chromatin and transcription profiles. Second, we will perform proteomics analyses to identify new protein factors and regulatory pathways driving and sustaining ALT. These studies will uncover new insights into the ALT pathway and identify new therapeutic targets for ALT cancers."
HRCS22_14612,Checkpoint receptors expressed by dendritic cells- do they play a role in immunotherapies?,"The preliminary data of this proposal indicate that PD-1 and other checkpoint inhibitors are upregulated on DC upon activation both in vitro and in vivo. The panel of immune checkpoint proteins expressed by DC is governed by their specific subset. Moreover, human DC subsets show similar upregulation of PD-1 upon activation. Our examination of DC of PD-1 knockout mice has revealed that this protein is involved in the regulation of interferon-lambda production by DC subsets and in the T cell stimulation capacity of DC. This is particularly striking in the cross-presenting CD8+ DC, also known as conventional (c) DC1. Moreover, blocking of PD-1 signalling on human DC using small molecule inhibitors of PD-1 also leads to enhanced IFN-lambda producing capacity of cDC1. This project aims to decipher exactly how PD-1 signalling in DC affects transcriptional regulation and overall function in these cells. We will determine the PD-1 expression on DC in mouse models of induced melanoma. We will determine how PD-1 expression on DC determines outcome of melanoma growth pre and post treating with PD-1 blocking agents. Our work will reveal the functional significance of PD-1 expression by DC, revealing for the first time how these cells must be taken into account when designing immune checkpoint immunotherapies."
HRCS22_15702,Exploring mitochondria-to-nuclear communication in pancreatic cancer initiation,"Pancreatic cancer is characterized by poor overall survival and few efficacious therapeutic interventions. One area that has offered significant scope for further exploration are the numerous metabolic disturbances in preclinical models of pancreatic cancer.   Several of these derangements lead to imbalances in metabolites, including S-adenosylmethionine (SAM), α-ketoglutarate (αKG), and acetyl-CoA that are crucial to the regulation of epigenetic landscapes. Previously, I have demonstrated that pancreatic cancer initiation features abundant epigenetic reprogramming in the progression to neoplasia, and that the cytoplasmic enzyme ATP citrate lyase, which produces acetyl-CoA from citrate, is essential to the neoplastic process. In mouse models, Acly deletion diminishes the enhancement of histone acetylation that occurs in response to mutant Kras. The role of mitochondrial generation of the ACLY substrate citrate in acetyl-CoA availability, and the downstream effect of mutant Kras-induced acetyl-CoA on chromatin landscapes both remain unknown.  Our long-term goals are to identify how metabolic rewiring impacts the epigenome to facilitate alterations to cell fate in cancer. In this proposal, we intend to define the mitochondrial-to-nuclear connections that control epigenetic reprogramming in pancreatic cancer initiation. Building from my previous work, from Luca Scorrano’s expertise on mitochondrial dynamics, and from novel tools developed by Rohit Chandwani, our aim is to elucidate the mechanisms by which mitochondrial function controls the availability of exported citrate and nucleo-cytoplasmic acetyl-CoA. We will utilize several perturbations to citrate synthesis and export as well as to mitochondrial structure and function to delineate cross-talk between the mitochondria and the cytosol in controlling acetyl-CoA.   The data from this study will be incorporated in a larger framework, where using an orthogonal approach, we will examine the global effect of alterations in acetyl-CoA abundance on the epigenome and preneoplastic cell fate in order to reveal mitochondrial control of acetyl-CoA as a therapeutic vulnerability in this otherwise deadly disease."
HRCS22_15720,Structural basis of B-cell Receptor-mediated cell-autonomous signalling in chronic lymphocytic leukaemia,"B cell receptor (BcR) signaling is a central event in the pathogenesis of chronic lymphocytic leukemia (CLL). Inhibitors of downstream effectors of BcR signaling display good clinical efficacy, yet have a limited capacity to induce profound clinical responses, and frequently lead to side effects due in part to off-target activity. Thus, the key challenge towards optimal CLL patient management remains the development of tailored treatments that target the BcR-mediated signaling, while taking into account the patient-specific modalities of receptor activation. CLL patients are heterogeneous in leukemic cell phenotype and clinical outcome, but can be grouped in subsets that present homogeneous clinicobiological features based on the expression of highly homologous BcRs. A unique feature of CLL B cells is their ability to signal autonomously in vitro, through homotypic recognition of the BcR. We recently showed that these BcR interactions are different and specific for each subgroup of patients as defined by the receptor structure.  Here, we propose an integrated approach to characterize the structure and self-recognition of BcRs derived from the most common CLL subsets. First, we will determine the high-resolution crystal structures of BcRs from three common stereotyped subsets, as well as non-stereotyped IGHV1-69 receptors. Then, will use mutagenesis and biophysical methods to fully characterize and validate the homotypic binding of the receptors observed in the crystals, and to investigate existing correlations between BcR contacts and clinical course of disease. Finally, we will perform an in silico screening of chemical libraries to identify compounds antagonizing the autologous BcR interaction in the most common CLL cases, and test these in a reconstituted B cell system. The results of the research outlined will widen our knowledge on the mechanism leading to CLL onset, improve patients management, and provide lead compounds against a prevalent form of the disease."
HRCS22_15818,Genetic dissection of factors contributing to disease severity in a fly brain tumour model,"Since the discovery of oncogenes and tumour suppressors, it is known that a small number of genetic insults can transform healthy cells into precancerous. Decades later, we are still trying to fathom the multitude of additional defects that underlie full-blown malignancy. Model organism cancer models with carefully controlled genetic make-up are invaluable in achieving progress in this direction. In the past decade, a number of Drosophila cancer models were developed, that have helped understand aspects of carcinogenesis, such as multiclonality and metastasis. We are studying a cancer model from juvenile fly neural progenitors, which can be immortalized by serial allografting. We have performed transcriptome and histological analysis of this tumour, as well as two genetically defined variants, where we knocked down two key chromatin regulators, the NuRD nucleosome remodeling complex and the PRC2 histone methyltransferase. One of these variants grows more aggressively whereas the other is more benign. From analysis of differentially expressed genes, we have zeroed-in on a number of putative enhancers and suppressors of malignancy; these are the focus of the present proposal. Curiously, a cohort of 15 transcription factors, normally associated with early steps of neuronal differentiation, is upregulated in the more malignant NuRD-compromised variant. At the opposite end, activation of the Toll and JNK pathways is a hallmark of the less malignant PRC2-compromised variant. We propose to perform an in-depth in vivo study of tumours manipulated for these putative modulators in order to determine whether their upregulation causally underlies increased/suppressed malignancy or is simply a collateral effect. In parallel, we shall address the ability of these tumours to induce organ wasting to their hosts: this is more pronounced in the less aggressive tumour. We shall therefore scrutinize its secretome and use genetic manipulations to ask whether one or more tumour-produced cytokines are responsible for host cachexia."
HRCS22_15819,Analysis of somatic recombination in lymphoid cells to unravel DNA end joining regulation in cancer,"DNA double-strand breaks (DSBs) are toxic cellular lesions that must be efficiently repaired to maintain genome stability and prevent cancer. The two main DSB repair pathways are homologous recombination (HR) and nonhomologous end joining (NHEJ), with pathway choice partly determined by functional antagonism between the HR-promoting factor BRCA1 and NHEJ-promoting proteins, notably 53BP1/RIF1/MAD2L2. We recently identified two novel genes that encode for previously uncharacterized proteins termed shieldin (SHLD)1 and SHLD2 that form the shieldin complex, which we determined as being the downstream effector of 53BP1/RIF1/MAD2L2 in promoting NHEJ and antagonizing BRCA1-mediated HR. Importantly, loss of SHLD1 or SHLD2 renders poly(ADP-ribose) polymerase (PARP) inhibitors ineffective in BRCA1-deficient cancer cells. In addition, we have established that the shieldin complex plays major and distinct roles during antigen receptor gene diversification in lymphocytes, specifically RAG1/2-induced V(D)J recombination and AID-induced class switch recombination (CSR).     In this research program, we propose to utilize programmed DNA recombination processes in lymphocytes to unravel the functions of the 53BP1-MAD2L2-shieldin axis in DSB repair. Specifically, we will analyze at the molecular level the impact of the loss of 53BP1, MAD2L2, and the shieldin complex on recombination intermediates and products. We will also test genetic and functional interactions between NHEJ and the 53BP1-MAD2L2-shieldin axis during V(D)J recombination and CSR. In addition, we will identify the local protein complexes associated with MAD2L2 and SHLD1 upon induction of programmed DSBs. Finally, we will use dedicated genetically modified mouse models to reveal the roles of SHLD1 and SHLD2 in lymphopoiesis.  Ultimately, through these studies, we aim to discover novel modes of regulation of DSB response and repair that could contribute to the development of novel DNA repair based cancer therapies."
HRCS22_15915,Characterizing the role of regulatory T (Treg) cells in the progression of aggressive mesenchymal-type colorectal cancer,"Colorectal cancer (CRC) is one of the most common types of cancer in the Western world and the second most common cause of cancer-related mortality. Analysis of recurrent patterns of gene expression in CRC has led to the identification of four Consensus Molecular Subtypes (CMS1-4). Of all newly diagnosed CRC cases in the world (1.5 million worldwide), approximately 25% are CMS4 (375,000 new cases each year). CMS4, also known as the ‘mesenchymal subtype’, is characterized by high stromal content and high level TGFß signaling, an increased likelihood of distant metastases, and resistance to chemotherapy and EGFR-targeted therapy. Of all CRC-related deaths worldwide (700,000 per year) approximately 40% is estimated to be due to CMS4 (280,000). Arguably, the development of subtype-targeted therapy is most urgent for CMS4 CRC. We have recently found that CMS4 is characterized by a specific gene signature reflecting infiltration of regulatory T (TREG) cells and have found that mesenchymal-type CRC tumor organoids induce a dramatic increase in TREG cell numbers. This suggests that tumor cells may directly promote TREG cell expansion in CMS4, potentially contributing to local suppression of anti-tumor immunity. Here, a novel in vitro 3D CMS4 tumor organoid-TREG cell co-culture model will be used to determine the capacity of tumor cells to modulate TREG cell development, identity, expansion and phenotype. In parallel, novel in vivo mouse models for CMS4-like metastatic CRC will be utilized to further investigate TREG cell biology, and study the effect of TREG depletion on tumor growth and spontaneous metastasis formation. The enrichment of TREG cells in CMS4 CRC suggests that TREG -targeting therapy may be particularly effective against this subtype. However, more insight into TREG accumulation in CMS4 CRC, their function, and their role in metastasis and therapy resistance needs to be gained, before considering them as valid targets for therapy."
HRCS22_15962,Understanding how clonal hematopoiesis feeds lymphoma,"As the fifth most frequently occurring cancer type in humans, lymphoma still requires to be mechanistically better understood in order to achieve a satisfactory relative survival. A promising approach to close this knowledge gap concerning lymphoma consists in investigating the microenvironment and potentially occurring inflammatory processes, which may have a supportive effect on the emerging and maintenance of tumor progression. Clonal hematopoiesis (CH) is the accumulation of mutations in the myeloid-monocyte lineage in healthy individuals. CH has been correlated with inflammation and aging of immune response. One of the most-common mutations in CH is loss-of-function alleles in TET2. TET2 encodes an enzyme involved in epigenetic regulation of hematopoietic cells. Our working hypothesis is that TET2 mutated CH creates an inflamed niche of myeloid cells that support the tumor and/or impair the anti-tumor immune response. Our working hypothesis will be addressed through distinct tasks: 1.) Provide experimental proof that TET2 mutated myeloid cells are enriched in the intra-tumoral microenvironment of lymphoma patients with CH, and that they have a pro-inflammatory/tumor supportive phenotype; 2.) Validating that Tet2–deficient hemopoiesis promotes lymphoma development and 3.) Proofing that TET2 mutated CH is an unfavorable prognostic biomarker in lymphoma. The project leverage state-of-the-art and novel single cell technologies, novel strains of genetically modified mouse models of lymphoma, and clinical trial cohorts. The project will impact on our understanding of lymphoma biology and will create a new platform for therapeutic advances in this tumor. In terms of knowledge, we will discover a completely new and actionable mechanism of lymphoma promotion that may be termed as “monoclonal immune microenvironment” that will advance the understanding of the interplay between immune-aging and tumor development. In terms of treatment, we will generate both reagents and candidate targets from pre-clinical studies aiming at re-educating or eradicating the “monoclonal immune microenvironment”."
HRCS22_15987,Exploring the functional role of EZH2-dependent autocrine signaling in T-cell leukemia,"BACKGROUND: T-cell acute lymphoblastic leukemia/lymphoma (T-ALL) is a malignancy with refractory/relapsed cases, presumably due to the ineffective targeting of leukemia initiating cells (LICs). DNA mutations, leading to the hyperactivation of Notch1 signaling, are found in >50% of human T-ALL. NOTCH1 binding induces the eviction of PRC2, which promotes the repressive H3K27me3 chromatin modification. Moreover, we observed that in NOTCH1-induced mouse T-cell leukemias, the shRNA-mediated knockdown of EZH2 (a functional component of PRC2) stimulates cell growth/survival by inducing an autocrine IGF-like signaling, critical for LIC activity.  OBJECTIVE/HYPOTHESIS: This proposal intends to characterize the functional role of EZH2 in the NOTCH1-driven malignant transformation of human cells and to define the EZH2-dependent autocrine signaling involved in T-ALL pathogenesis. We hypothesize that the silencing of EZH2 modulates functional pathways of T-cell transformation and LIC activity underlying the different outcomes of relapsed/recurrent leukemias.  SPECIFIC AIMS: Determine whether the loss of EZH2 promotes the malignant transformation of hematopoietic stem/progenitors(HSPCs) from human cord blood; Characterize the EZH2-dependent autocrine signaling in human NOTCH1-induced HSPCs; Define the functional role of EZH2 in the LIC activity of human T-ALL.     STUDY DESIGN: We propose to use novel models of human T-ALL in which HSPCs from cord blood are transformed into clonal T-ALL-like malignant cells, after transduction with lentiviral vectors encoding NOTCH1-ΔE (a constitutively active NOTCH1 variant) alone or in combination with three known T-ALL oncogenes, and subsequent injection into immunocompromised mice. We will perform gain/loss-of-function assays to assess the EZH2 contribution to leukemogenesis and LIC-related phenotypes. We will employ ELISA/Luminex analyses, combined with RNA-Seq, ChIP-Seq and TaqMan gene expression assays for characterizing the EZH2-dependent autocrine signaling. Conventional EZH2 inhibitors and patient-derived xenograft(PDX) leukemias will be also included.  SIGNIFICANCE: This study will outline relevant pathways of leukemia maintenance, development and chemoresistance and provide rationale for drug design by identifying novel molecular targets."
HRCS22_15995,Role of PI3K-C2G in pancreatic cancer metabolism,"Pancreatic cancer (PC) is the most lethal cancer across the world, with incidence equaling mortality. Recently, PC emerged as a metabolic outlier characterized by several metabolic dependencies, representing an unmet opportunity for the development of novel therapeutic approaches. A wealth of studies report that enhanced activation of PI3K/mTOR pathway has a critical role in the pathogenesis of PC and it is required for sustaining malignant growth and metabolism rewiring. The mTOR Complex 1 (mTORC1) is a key regulator of metabolic adaptation to nutrient availability, promoting anabolic pathways. Recently, it has been reported that PI(3,4)P2, a class II PI3K signaling product, can act as a local repressor of the mTORC1 signaling. Differently from other class II members which are ubiquitous, In particular, the PI3K-C2γ isoform is mainly expressed in the pancreatic tissue where it plays a pivotal role in cell metabolism. In human PDAC, the PIK3C2G gene is homozygous-deleted in about 7% of patients. Therefore, we decided to model PI3K-C2γ loss (PIK3C2G gene KO) in a mouse model of PC (KPC). We found that lack of PI3K-Cϒ increases tumor development and progression, strongly reducing mice mean survival rate and driving rapid progression to cancer. Biochemical analyses of PIK3C2G-deficient tumors revealed a specific hyperactivation of mTORC1 pathway, increasing metabolic alterations. To consolidate these findings, we aim at: i) assessing the oncogenic potential of PI3K-C2ϒ ii) dissecting PI3K-C2ϒ signaling pathway iii) exploiting metabolic dependencies of PI3K-C2ϒ loss iv) defining the prognostic and predictive value of PI3K-C2ϒ in PDAC. With this project, we expect to validate PI3K-C2ϒ as a novel tumor suppressor in PC and to establish a new mechanism by which PI3K-C2ϒ controls metabolic alterations induced by mTORC1 hyperactivation. Eventually, data obtained from this study will validate selective inhibition of critical metabolic pathways in PI3K-C2ϒ-deficient tumors to maximize therapeutic success."
HRCS22_16007,Uncovering the regulation of chromatin structure by TET2 during leukemic cell fate decisions,"Cytosine methylation at CpG dinucleotides is the major epigenetic modification of mammalian DNA and plays important roles during relevant processes of cell fate decisions including embryo development and cancer. Cell fate decisions, such as during normal or malignant differentiation, are typically initiated by transcription factors (TFs) that regulate gene expression in concert with epigenetic modifications like DNA methylation. Loss of this DNA modification can be either passive or active when initiated by TET enzymes. Of the three TET enzymes described, TET2 seems to be the family member most important for induced cell fate changes.In addition,TET2 is among the most frequently mutated genes in blood cancers (7-50% of patients depending on the type of cancer) and its mutations typically trigger aberrant gene expression profiles eventually leading to the onset of haematological diseases. However, the molecular mechanisms by which aberrant TET2 activity rewires the normal gene expression profile into a tumorigenic one is still poorly understood.   To decipher these molecular mechanisms, I propose to use a unique cell fate conversion system consisting in the C/EBPa-induced transdifferentiation of human leukemic B cells into non-tumorigenic macrophages at nearly 100% efficiency. This system is therefore ideally suited to study how TFs orchestrate DNA methylation changes in concert with TET2 to induce the observed loss of tumorigenicity. In addition, the system recapitulates the leukemic progression (in a reverse fashion) offering a unique opportunity to unveil the really first chromatin events at the onset of the disease. Consequently, results from this study will be highly relevant for the understanding of the role of DNA methylation in blood cancer initiation and progression and might shed light on potential new targets for patients suffering from acute mieloid leukemia."
